product_id,product_name,fc_number,brand,onqi,cost,margins
4210,Blackberry Cobbler,16,Marie Callender's Grocery,10,6.58,6%
4211,Infused Balsamic Vinegar,26,Pompeian,76,6.56,59%
4216,Shrimp Broken,42,Crown Prince,62,1.65,40%
4217,Trail Mix Chocolate Caramel,42,Chex Mix,40,1.37,52%
4218,Feta Cheese,14,365 Everyday Value,3,7.13,59%
4219,Mesquite Marinade,14,McCormick,62,3.38,21%
4221,Sour Cream Light,,Lucerne,7,2.24,26%
4243,Pretzel Thins Garlic Parmesan,49,H-K Anderson,52,9.48,61%
4244,Fruit Flavored Snacks Mixed Fruit,49,Market Pantry,76,6.07,92%
4245,Potato Patties,50,Cavendish,84,9.33,6%
4246,Chili Beans,49,Stone Mountain,4,7.22,50%
4250,Brown Rice Crackers Peppercorn Blend,53,Food Should Taste Good,96,2.51,99%
4251,Soup Condensed Vegetarian Vegetable,14,Great Value,68,5.70,61%
4252,Red Raspberry Jam,14,Windmill Farms Grain & Garden,84,1.01,13%
4253,White Meat Chicken Pie with Broccoli Carrots and Pearl Onions.,14,Mrs. Budd's,22,9.48,36%
4256,Beans Pinto,47,El Mexicano,92,6.62,36%
4257,Kombucha Elderberry Hibiscus,53,High Country Kombucha,88,8.65,35%
4258,Layers Sugar Free Gum Jelly Bean,23,Trident,50,9.79,57%
4259,Beef Burgers,23,Great Value,55,2.17,30%
4264,Kettle Pops Light Caramel Glaze Pre-Priced,,Eat Smart,50,5.36,44%
4266,Gourmet Salsa Verde Medium,,Mateos,20,7.67,16%
4283,Sun-Dried White Mulberries,3,Divine Organics,14,2.21,37%
4289,Orange Juice,34,Hannaford,95,7.69,66%
4294,Squeezable Fruit Apple Cherry & Pear,14,Parent's Choice,73,9.03,14%
4297,Crispy Halibut Fillets Golden Battered,37,Van de Kamp's,39,5.98,79%
4298,Bagels Multigrain,37,Unknown,70,3.81,44%
4299,Sauce with Vegetables Golden Curry Hot,37,S&B,36,2.03,29%
4300,French Artisan Rolls,37,Giant,45,1.40,43%
4307,Cactus Water with Prickly Pear,36,Cali Water,44,9.92,70%
4312,Energy Drink,20,Rockstar,86,5.82,51%
4318,Pork Jerky BBQ Seasoned,7,Oberto,99,3.03,23%
4319,Milk 2% Reduced Fat,7,Frys,30,1.01,99%
4320,Tuxedo Snack Mix,7,Wholesome Goodness,74,1.06,18%
4321,100% Whey Protein,7,Optimum,3,6.49,49%
4322,Juice Beverage Apple Lemon Ginger Cayenne Pepper,8,Pressed Juicery,45,7.16,21%
4349,Mini Lemon Bundt Cake,23,Raley's,47,8.53,9%
4350,Cashews Halves & Pieces Roasted,9,Nice!,94,4.16,76%
4351,Salsa Original Gourmet Mild,9,La Mexicana Grocery,67,2.59,77%
4353,Energy Gel Banana Peach,3,Carb Boom,93,3.48,46%
4363,Pancakes Chocolate Chip,6,Eggo,23,6.22,43%
4364,Shortbread Tartlet Shells,6,Private Selection,72,8.09,43%
4374,Medallones Poblanos,19,La Duena,9,3.94,37%
4375,100% Pure Squeezed Orange Juice,20,Market Pantry,50,4.84,34%
4376,Dressing Sesame Ginger Dressing All Natural,19,Marketside,55,9.49,85%
4377,Steamers Basil Vegetable Medley,19,Green Giant,68,9.51,56%
4403,Nonfat Greek Yogurt Classic Cherry Fruit on the Bottom,52,Taste of Inspirations,41,6.17,6%
4404,Ziti,52,Food Club,69,2.75,33%
4405,Raw Chocolate Truffle,11,Goodbites,63,1.15,14%
4407,Sausage Biscuits,6,Rudy's Farm,86,7.26,18%
4408,Popcorn Almond Caramel,6,Popcornopolis,67,9.08,39%
4409,Turkey Breast Oven Roasted Shaved with Broth,6,The Deli Counter,22,2.04,16%
4410,Pork Roll Mild Hickory Smoked Slices,6,ShopRite,84,9.41,63%
4425,Italian Rolls,31,Bread du Jour,7,7.09,9%
4426,Mint Chocolate Chip Ice Cream,31,Dean's,85,6.37,91%
4430,Assorted Gelatin,51,Casa Cardenas,69,4.26,48%
4440,Chunk Light Tuna,50,My Essentials,98,1.39,15%
4441,Yogurt Greek Low-Fat Very Berry,50,Chobani,25,3.92,35%
4449,USDA Choice Top Sirloin Steak,13,Schwan's Butcher's Cut,87,9.15,29%
4450,Ice Cream Peanut Butter with Peanut Butter Cookie Pieces,13,Edy's,76,2.48,48%
4451,Chicken Wings Sriracha Glazed,,Nice!,73,2.97,39%
4453,Potato Chips Lightly Salted,31,PotatoFinger,84,4.14,48%
4454,Meatless Kielbasa Meat Free,31,Tofurky,25,6.95,33%
4459,Sandwich Rounds 100% Whole Grain,37,Nature's Own,72,4.61,69%
4460,Skillet Sauces Sesame Chicken,26,Campbell's,51,8.50,11%
4495,Cottage Cheese Small Curd 1% Milkfat Lowfat No Salt Added,40,Giant,80,1.83,83%
4496,Swiss Crepes Assorted,40,Wegmans,39,8.75,85%
4497,Swiss Bar Milk Chocolate with Ground Hazelnuts,41,Private Selection,9,6.19,32%
4498,Lotzza Motzza Sausage & Pepperoni Pizza,42,Brew Pub Pizza,70,3.60,29%
4499,Baked Beans,42,Hanover,35,6.76,73%
4500,Apples & Bananas Stage 2,42,Beech-Nut,35,6.11,10%
4501,Hand Decorated MLB Cookies Boston Red Sox,42,Color-a-Cookie,24,2.34,88%
4503,Naturally Hickory Smoked Classic Cut Bacon,28,Farmland,50,2.83,30%
4504,Buffalo-Style Chicken Strips,28,Hannaford,37,8.62,27%
4505,Chicken White & Dark In Water,28,Hormel,70,5.37,31%
4506,Apple Butter,28,McCutcheon's,29,3.92,27%
4507,Dried Cherries & Glazed Walnuts,28,Good Sense,93,1.71,64%
4508,Dark Chocolate Almonds,28,Sanders,29,7.11,51%
4509,Best Fiber Powder Fiber Supplement,23,Good Sense,35,5.57,27%
4513,Olive Oil Extra Virgin Cold Pressed Bread & Salads,29,Red Island,72,9.80,79%
4514,Corn Whole Kernel Sweet,29,Libby's,3,7.65,57%
4529,Chicken Jerky,16,Cave Man,11,4.67,90%
4530,Pizza Crispy Thin Crust Hawaiian Recipe,34,California Pizza Kitchen Grocery,87,6.73,10%
4531,Cottage Cheese Large Curd 4% Milkfat Min.,16,Meijer,45,3.83,10%
4532,Cappuccino Sandwich Cookies,48,Cafe Cremes,82,9.02,52%
4533,Nutrimeal Nutritious Meal Replacement Shake French Vanilla,48,Usana,93,2.86,40%
4535,Cereal Flax Seeds Dates Almonds Raisins Cranberries Coconut,48,Mu Mu Muesli,10,1.20,71%
4536,Cheese & Grapes Snack,48,Simply To Go,2,3.44,79%
4542,Goat Milk Feta Crumbled,3,Montchevre,75,9.50,29%
4543,Pasta Organic Spaghetti Made W/Jerusalem Artichoke Flour 8 Oz,3,DeBoles,97,6.97,74%
4544,Reduced Calorie Pudding & Pie Filling Chocolate,29,Jell-O,7,3.57,34%
4558,Wheat Rolls,38,Stater Bros.,40,4.50,82%
4559,Braided Pastry Cherry,38,Butter Braid,64,6.34,82%
4561,Candy Assorted Fruit Snack Size,48,Snak Club,46,6.10,67%
4562,Marinade in A Bag Cracked Peppercorn,48,Lea & Perrins,31,9.09,100%
4563,Cooking Spray Vegetable Oil,48,Shaw's,8,2.02,72%
4583,Kidney Beans Light Red,15,La Preferida,98,7.65,100%
4584,Milk Chocolate Truffles Milk and White,15,Lindt Lindor,46,1.61,77%
4585,Honey Wheat Berry Bread,15,Cascade Pride,17,2.58,94%
4614,Skinless & Boneless Sardines in Water,26,Season,42,1.15,46%
4615,Frozen Dessert Cake Vanilla Chocolate Allure,50,Nestle Dolcetto,21,1.50,85%
4621,Island Mango Marinade Sweet and Tangy,23,World Harbors,81,1.01,78%
4622,Nantucket Blend,23,Back to Nature,68,3.85,6%
4630,Sour Baguette,11,Acme Bread,39,5.21,60%
4631,Maple Brown Sugar Oatmeal,36,Medi WEightloss,12,8.80,40%
4632,Nonfat Yogurt Vanilla Blended,,Chobani Greek Yogurt,68,7.13,80%
4634,Creme Soda French Vanilla Contour,29,Barq's Diet,3,1.58,50%
4671,Strawberry Syrup,35,Fox's U-Bet,93,6.54,24%
4672,Medical Food Nutritional Formula with Fiber for Children 1-10 Years French Vanilla,35,Resource,32,1.10,100%
4682,Pancake and Baking Mix Organic Buckwheat Flax,1,The Pure Pantry,29,1.10,92%
4683,Bacon Wrapped Pork Tenderloin Filet,1,Burgers' Smokehouse,25,7.50,32%
4684,Bar Apple Cinnamon Yogurt,1,Schiff,100,4.88,44%
4685,Bread & Butter Pickles Sweet & Slightly Tangy,1,Nalley,10,1.83,78%
4687,Smoothie Light Strawberry,24,Lucerne,64,1.77,13%
4700,Hard Candies Chocolate,18,TasteTations,18,7.24,16%
4701,Broccoli Cheddar Rice,18,Chef Solutions,54,7.07,97%
4702,Traditional Egg Challah,18,Breadsmith Grocery,16,8.45,1%
4703,Tomatoes Stewed Italian,18,Our Family,79,7.74,34%
4705,Meatballs,31,Rosina,22,3.17,25%
4706,Potato Chips Grilled Cheese,31,Archer Farms,98,4.03,78%
4707,Happy Hour Snack Mix Cheddar Bacon,27,T.G.I. Friday's,60,2.92,12%
4709,Ravioli Chicken Rosemary,42,Rana,18,8.35,32%
4710,Grapeseed Oil,18,Salute Sante!,14,8.87,17%
4711,X-3 (3-Carbs) Lemon-Lime Citrus Blast,18,180 Energy,4,1.88,87%
4712,Pesto Alla Genovese,45,Mantova,95,8.83,77%
4713,Spreadable Cheese Parmesan With Garlic & Herbs,45,Philadelphia,34,7.19,43%
4714,Pepperoncini,45,Supremo Italiano,32,6.45,60%
4715,Burgers Bison,45,President's Choice,69,7.82,55%
4719,Popped Chips Sweet Maui Onion,20,Go Lite!,93,3.38,40%
4720,Cajun Shrimp Crawfish & Crab Boil,20,Chef Hans',90,2.38,56%
4731,Vegi-Dressing Creamy Dill,14,Nasoya,59,4.15,85%
4732,Pitted California Ripe Olives,14,Musco Family Olive Co.,25,5.16,0%
4785,Mini Toasts,35,Gilda,77,4.87,82%
4786,Apple Juice from Concentrate with Added Vitamin C,35,Western Family,46,1.59,63%
4787,Soup Organic Signature Tortilla,49,Wolfgang Puck,25,9.19,66%
4793,Chocolate Cakes,12,Jenny's Cuisine,26,7.68,35%
4794,Lean Body Strawberries & Cream,34,Labrada Nutrition,2,5.27,83%
4795,Milk 2% Reduced Fat Vitamin D Added,34,Rosenberger's Dairies,26,4.47,50%
4796,Kickin' Sweet Potato Fries Straight Cut,34,Texas Pete,5,3.72,16%
4800,Rustic Ciabatta Loaf,14,Chabaso Bakery,86,1.82,13%
4801,Lightly Salted Macadamia Nuts,14,Island Princess,2,4.73,90%
4802,Carrots In Escabeche 7 Oz,14,Embasa,28,8.42,66%
4835,Candy Gummi Worms,20,AMPM,68,7.05,42%
4836,Monster Trail Mix,20,Archer Farms,5,8.04,24%
4840,Oven Roasted Sliced Almonds,16,Fresh Gourmet,85,8.26,20%
4841,Dark Chocolates Assorted,16,Godiva Chocolatier,27,9.42,56%
4858,Dark Chocolate with Whole & Chopped Hazelnuts,26,Baci,77,7.09,11%
4859,Spring Caramel Chocolate Trio,26,Ghirardelli Chocolate,52,2.30,70%
4860,Sparkling Water Orange,26,La Croix,8,3.39,26%
4868,Coffee Creamer Original,26,Hy-Vee,72,1.51,71%
4869,Chocolate Covered Mini Pretzels,26,Giant Eagle Market District,27,1.07,40%
4870,Turkey Breast (854002) Oven Roasted,40,Original,6,4.26,78%
4871,Milk Chocolate Cashew Torties,40,Sanders,39,2.56,31%
4872,Ghostly Giggles Minis Crunchy,40,M-Azing,93,9.34,100%
4873,Tuna Albacore Solid White in Water,40,Season,23,7.27,64%
4934,Maintenance Elemental Diet Unflavored Powder,35,Tolerex,84,2.10,19%
4943,Flavored Juice Drink Fruit Punch,18,CapriSun,37,8.25,51%
4945,Mixed Nuts Deluxe No Peanuts,9,Gold Emblem,3,2.52,61%
4946,Fork Split English Muffins,9,Trucchi's Supermarkets,16,9.15,52%
4947,Croutons Bacon,18,J & Ds,54,2.03,74%
4948,Corndogs,18,Signature Pick 5,61,6.93,36%
4959,Pizza Snacks Pepperoni & Bacon,28,Maple Leaf Natural Selections,13,1.66,40%
5076,Just Chicken,28,Trader Joe's,4,3.06,79%
5081,Pure Vanilla Extract,51,Morton & Bassett Spices,25,5.45,10%
5082,Massive Whey Gainer Delicious Strawberry Flavor,13,Ultimate Nutrition,41,9.75,32%
5088,Candy Bar Triple Dazzle Caramel,14,Wonka,35,3.47,98%
5104,Raw Local Honey,36,Honey Drop,25,9.07,36%
5110,Candy Pull-N-Peel Cherry King Size,53,Twizzlers,34,8.91,75%
5111,Sweet N' Tangy BBQ 6.75 Oz Seasoning,53,Weber,34,3.85,71%
5112,Preserves Raspberry Apricot Pecan,53,Fischer & Wieser,33,1.03,19%
5115,Gravy Mix The Original,20,Aah Bisto,46,8.94,22%
5116,Peanuts Brittle 8 Oz,20,Virginia Peanut Company,73,4.12,20%
5118,Garden Mashers Cheddar Potatoes & Broccoli,29,Gerber,82,6.80,18%
5119,Turkey Meatballs (821506) Italian Style Lean,29,Jennie-O Turkey Store,33,5.85,95%
5126,Beef Steaks Loin Top Sirloin,15,Rancher's Reserve,21,6.63,55%
5130,Choco Pie,19,Orion,58,3.15,92%
5131,Baobab Superfood Chews Raspberry,1,Bonga,9,4.50,38%
5132,Chicken Wings Sweet Paprika,1,Rowe Farms,89,4.47,45%
5185,Salted Caramel Crunch,44,Chobani Greek Yogurt,85,9.90,51%
5186,Seasoned Plum,44,Jfc International Inc.,78,3.14,100%
5187,Whipped Cream Cheese Chive,31,Philadelphia,55,1.23,4%
5188,Gluten Free Chocolate Chunk Cookies,31,Aleia's,97,5.34,8%
5189,Yogurt Nonfat Strawberry Flavor with Rainbow Sprinkles,31,Dannon,72,1.82,30%
5327,Vanilla Sugar Cookies,12,Immaculate Baking Co.,86,3.83,11%
5328,French Bread,12,Unknown,81,1.24,26%
5329,Butter Pancake Syrup,37,My Essentials,50,5.04,11%
5330,Pine Nuts,37,It's Delish,43,8.81,65%
5386,Lemonade Iced Tea Half & Half Diet,28,Snapple,31,7.25,40%
5392,Pistachios,14,Pacific Gold,46,3.52,60%
5393,Pie Filling & Topping Premium Dark Sweet Cherry,13,Comstock,92,5.04,32%
5394,Cranberry Couscous,13,Whole Foods,79,6.27,14%
5403,Trail Mix Clusters,47,Brach's,3,8.78,40%
5405,Pop Grains Snack Squares,42,Snak King,62,8.56,75%
5423,Rich & Creamy Variety Pack Probiotic Banana & Strawberry Blended Lowfat Yogurt,5,La Yogurt,89,8.13,32%
5424,Smoked Sausage,5,Davis Meats,51,1.02,72%
5425,Premium Deli Turkey Breast,42,Essential Everyday,21,1.09,2%
5459,Ravioli Mini Beef in Tomato & Meat Sauce,47,Southern Home,13,4.51,40%
5465,Cookies White Frosted Mini Sugar,,Market Pantry,22,7.93,33%
5523,Juice Tropical Blend,10,SunRype,92,6.35,50%
5543,Kalamata Olive,42,Sprouts Farmers Market,14,1.14,85%
5632,Regular Cheese Ravioli,34,Mama Rosie's,60,8.69,47%
5633,Drink Mix Appletini,34,El Paso Chile Company,16,6.14,50%
5693,Santa Fe Style Salad,38,Giant,98,1.36,77%
5694,Sweet & Salty Dark Chocolate Nut,38,Nature Valley,88,3.50,74%
5695,Milk Lowfat Ultimate Chocolate 1% Milkfat,34,Shenandoahs Pride,65,4.89,21%
5696,Rice-Lentil Crepe Batter,47,Priyems Dosa Batter,9,3.89,47%
5697,Organic Energy Bar Original with Almond,47,Bumble Bar,46,2.58,73%
5698,Tomato Paste Club Pack,31,Contadina,26,2.39,82%
5699,Black Bean & Corn Salsa,23,Sensations,41,7.51,19%
5700,Sandwiches Ham & Cheese Whole Grain Crust,30,Lean Pockets,25,4.90,44%
5701,Quesadilla Cornucopia,30,Black Tie,66,7.75,17%
5702,Noodles & Beef,30,Hormel,87,8.55,36%
5705,Luxury Wafers Vanilla,30,Royal Dansk,68,7.58,26%
5779,Dark Semi-Sweet Chips,36,Chatfield's,25,5.41,16%
5872,Cheese Reduced Fat Sharp Cheddar,38,Essential Everyday,50,6.39,47%
6054,Grilled Asiago Chicken & Penne Pasta,23,Stouffer's,20,8.01,23%
6055,Instant Rice Noodle Soup Garlic & Vegetables,23,Wild Oats,30,3.31,9%
6090,Stuffed Sweet Peppers,36,Renaissance Farm,30,8.39,50%
6091,French Vanilla Shake,29,Atkins Advantage,69,4.05,14%
6112,Thickened Water Nectar Consistency Lemon Flavored,45,Resource,38,6.09,45%
6115,Spinach Chopped,51,America's Choice,93,6.48,26%
6116,Ground Beef Patties,51,Giant,91,8.01,63%
6121,Russet Potatoes,19,StartKist Selects,20,3.19,75%
6122,Wild Pacific Salmon Fillets Sweet & Spicy Peach Salsa,19,Roundy's Fisherman's Reserve,30,4.39,62%
6123,Brown Sugar Cinnamon Roll Wafflers,20,Kellogg's Eggo,62,6.58,3%
